Name,Country,District,DS Division,Latitude,Longitude,Language
Colombo 1 (Fort),LK,Colombo,Colombo 1 (Fort),6.9271,79.8612,en
Colombo 2 (Slave Island),LK,Colombo,Colombo 2 (Slave Island),6.9271,79.8612,en
Colombo 3 (Kollupitiya),LK,Colombo,Colombo 3 (Kollupitiya),6.9271,79.8612,en
Colombo 4 (Bambalapitiya),LK,Colombo,Colombo 4 (Bambalapitiya),6.9271,79.8612,en
Colombo 5 (Havelock Town),LK,Colombo,Colombo 5 (Havelock Town),6.9271,79.8612,en
Colombo 6 (Wellawatte),LK,Colombo,Colombo 6 (Wellawatte),6.9271,79.8612,en
Colombo 7 (Cinnamon Gardens),LK,Colombo,Colombo 7 (Cinnamon Gardens),6.9271,79.8612,en
Colombo 8 (Borella),LK,Colombo,Colombo 8 (Borella),6.9271,79.8612,en
Colombo 9 (Dematagoda),LK,Colombo,Colombo 9 (Dematagoda),6.9271,79.8612,en
Colombo 10 (Maradana),LK,Colombo,Colombo 10 (Maradana),6.9271,79.8612,en
Colombo 11 (Pettah),LK,Colombo,Colombo 11 (Pettah),6.9271,79.8612,en
Colombo 12 (Hulftsdorp),LK,Colombo,Colombo 12 (Hulftsdorp),6.9271,79.8612,en
Colombo 13 (Kotahena),LK,Colombo,Colombo 13 (Kotahena),6.9271,79.8612,en
Colombo 14 (Grandpass),LK,Colombo,Colombo 14 (Grandpass),6.9271,79.8612,en
Colombo 15 (Mutwal),LK,Colombo,Colombo 15 (Mutwal),6.9271,79.8612,en
Dehiwala,LK,Colombo,Dehiwala,6.8444,79.8650,en
Mount Lavinia,LK,Colombo,Mount Lavinia,6.8283,79.8630,en
Moratuwa,LK,Colombo,Moratuwa,6.7730,79.8815,en
Ratmalana,LK,Colombo,Ratmalana,6.8194,79.8802,en
Gampaha,LK,Gampaha,Gampaha,7.0902,79.9940,en
Negombo,LK,Gampaha,Negombo,7.2083,79.8358,en
Kalutara,LK,Kalutara,Kalutara,6.5831,79.9607,en
Horana,LK,Kalutara,Horana,6.7167,80.0667,en
Kandy,LK,Kandy,Kandy,7.2906,80.6337,en
Peradeniya,LK,Kandy,Peradeniya,7.2627,80.5981,en
Gampola,LK,Kandy,Gampola,7.1646,80.5706,en
Kadugannawa,LK,Kandy,Kadugannawa,7.2546,80.5239,en
Digana,LK,Kandy,Digana,7.3005,80.7558,en
Matale,LK,Matale,Matale,7.4675,80.6234,en
Dambulla,LK,Matale,Dambulla,7.8717,80.6520,en
Galewela,LK,Matale,Galewela,7.7833,80.5667,en
Ukuwela,LK,Matale,Ukuwela,7.4167,80.6833,en
Nuwara Eliya,LK,Nuwara Eliya,Nuwara Eliya,6.9708,80.7829,en
Hatton,LK,Nuwara Eliya,Hatton,6.8994,80.5934,en
Talawakele,LK,Nuwara Eliya,Talawakele,6.9340,80.6692,en
Ginigathhena,LK,Nuwara Eliya,Ginigathhena,6.9633,80.5333,en
Ampara,LK,Ampara,Ampara,7.2964,81.6745,en
Kalmunai,LK,Ampara,Kalmunai,7.4167,81.8167,en
Akkaraipattu,LK,Ampara,Akkaraipattu,7.2167,81.8500,en
Sammanthurai,LK,Ampara,Sammanthurai,7.3667,81.8333,en
Batticaloa,LK,Batticaloa,Batticaloa,7.7102,81.6924,en
Kattankudy,LK,Batticaloa,Kattankudy,7.6833,81.7333,en
