Name,City,Country,District,DS Division,Latitude,Longitude,Language
10000,Windhoek Oﬃce of Exchange,NA,Windhoek West,,−22.56311,17.08411,en
10001,Parcel Depot,NA,Windhoek West,,−22.5594,17.0832,en
10002,Omeya Kiosk,NA,Windhoek Rural,,−22.85203,17.11259,en
10003,GAME Kiosk,NA,Windhoek West,,−22.5594,17.08323,en
10004,Hybrid Mail,NA,Windhoek West,,−22.5594,17.0832,en
10005,Windhoek,NA,Windhoek West,,−22.5594,17.0832,en
10006,Wika Service Station Kiosk,NA,Windhoek West,,−22.5594,17.08323,en
10007,Bachbrecht,NA,Khomasdal,,−22.5516,17.0738,en
10008,Dordabis,NA,Windhoek Rural,,−22.9482,17.66149,en
10009,Eros,NA,Windhoek East,,−22.6122,17.08056,en
10010,Government Oﬃce Park Kiosk,NA,Windhoek West,,−22.5539,17.08487,en
10011,Khomasdal,NA,Khomasdal,,−22.53796,17.055,en
10012,Klein Windhoek,NA,Windhoek East,,−22.57889,17.10083,en
10013,Wernhill Pick n Pay,NA,Windhoek West,,−22.567,17.08056,en
10014,Rocky Crest,NA,Windhoek West,,−22.5734,17.0399,en
10015,Windhoek Central Prison,NA,Khomasdal,,−22.53969,17.07072,en
10016,Hosea Kutako Airport,NA,Windhoek Rural,,−22.48667,17.4625,en
10017,Ausspannplatz,NA,Windhoek West,,−22.57625,17.08576,en
10018,Auas Valley,NA,Windhoek East,,−22.58717,17.08356,en
10019,Kleine Kuppe,NA,Windhoek East,,−22.6211,17.1008,en
10020,Maerua Mall,NA,Windhoek West,,−22.58357,17.09371,en
10021,Olympia,NA,Windhoek East,,−22.6025,17.105,en
10022,Pelican Square,NA,Windhoek West,,−22.570,17.08361,en
10023,Pionierspark,NA,Windhoek West,, −22.570,17.08361,en
10024,Pionierspark Motors,NA,Windhoek West,,−22.570,17.08361,en
10025,Kiosk Prosperita,NA,Windhoek West,,−22.57000,17.08361,en
10026,University of Namibia,NA,Windhoek West,,−22.570,17.08361,en
10027,Craft Center,NA,Windhoek West,,−22.570,17.08361,en
10028,Katutura,NA,Katutura Central,,−22.533,17.083,en
10029,China Town,NA,Windhoek West,,−22.570,17.08,en
10030,Goreangab,NA,Samora Machel,,−22.53417,17.0794,en
10031,Okuryangava,NA,Tobias Hainyeko,,−22.5333,17.08333,en
10032,Otjomuise,NA,Khomasdal,,−22.56667,17.08333,en
10033,Soweto,NA,John Pandeni,,−22.535,17.0825,en
10034,Wanaheda,NA,Samora Machel,,−22.5292,17.0767,en
11001,Gobabis,NA,Gobabis,,−22.449259,18.969973,en
11002,Aminius,NA,Aminuis,,−23.6333,19.3666,en
11003,Epukiro,NA,Epukiro,,−21.700,19.1166,en
11004,Leonardville,NA,Aminuis,,−23.50,18.8,en
11005,Tallismanus,NA,Otjombinde,,−21.833,20.75,en
11006,Witvlei,NA,Okorukambe,,−22.40492,18.49289,en
11007,Omitara,NA,Okorukambe,,−22.29029,18.008,en
11008,Otjinene,NA,Otjinene,,−21.135195,18.7868,en
12001,Otjiwarongo,NA,Otjiwarongo,,−20.46417,16.65278,en
12002,Hochfeld,NA,Omatako,,−21.4910,17.852,en
12003,Okahandja West,NA,Okahandja,,−21.9830,16.917,en
12004,Okahandja,NA,Okahandja,,−21.983,16.917,en
12005,Okakarara,NA,Okakarara,,−20.3450,17.225,en
12006,Okamatapati,NA,Okakarara,,−18.9820,18.401,en
12007,Okondjatu,NA,Okakarara,,−20.41528,17.13556,en
